,tucaseid,tulineno,eeincome1,erbmi,erhhch,erincome,erspemch,ertpreat,ertseat,ethgt,etwgt,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eufinlwgt,eusnap,eugenhth,eugroshp,euhgt,euinclvl,euincome2,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,euwic,exincome1
7958,20140908141596,1,1.0,29.9,3,1.0,,185,0,0.0,0.0,,1,2,2.0,,2.0,,,1.0,10400000.0,2.0,4.0,1,66.0,5,,1.0,2.0,1.0,2.0,1.0,6.0,2.0,185.0,,0.0
7959,20140908141606,1,1.0,32.299999,3,1.0,,60,0,0.0,0.0,2.0,1,2,2.0,,1.0,1.0,2.0,1.0,1086245.0,2.0,4.0,1,66.0,5,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,200.0,2.0,0.0
7960,20140908141612,1,1.0,30.299999,3,1.0,5.0,0,30,0.0,0.0,1.0,1,1,1.0,4.0,1.0,3.0,1.0,1.0,4546665.0,2.0,3.0,1,65.0,5,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,182.0,2.0,0.0
7961,20140908141613,1,2.0,28.0,3,5.0,4.0,240,5,0.0,0.0,,2,1,1.0,1.0,2.0,,,1.0,15800000.0,2.0,3.0,2,70.0,5,2.0,,,2.0,,,,,195.0,,0.0
7962,20140908141620,1,1.0,23.700001,3,1.0,,30,10,0.0,0.0,,1,1,1.0,3.0,1.0,2.0,2.0,1.0,6294673.0,2.0,1.0,2,71.0,5,,,,2.0,2.0,,,,170.0,2.0,0.0
7963,20140908141621,1,2.0,30.200001,3,3.0,,85,0,0.0,0.0,,1,2,2.0,,1.0,2.0,1.0,1.0,3411080.0,2.0,1.0,1,62.0,5,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,165.0,,0.0
7964,20140908141624,1,1.0,25.0,3,1.0,5.0,90,0,0.0,0.0,,1,2,2.0,,1.0,1.0,2.0,1.0,26000000.0,2.0,4.0,2,70.0,5,,,,2.0,2.0,,,,174.0,,0.0
7965,20140908141625,1,2.0,29.299999,1,5.0,,50,0,0.0,0.0,1.0,1,2,2.0,,2.0,,,1.0,7642954.0,1.0,4.0,2,64.0,5,2.0,,,2.0,1.0,,,,171.0,,0.0
7966,20140908141628,1,2.0,27.4,1,3.0,,60,10,0.0,0.0,,2,1,2.0,,2.0,,,1.0,4264382.0,2.0,4.0,2,68.0,5,1.0,1.0,2.0,1.0,,,,2.0,180.0,,0.0
7967,20140908141634,1,1.0,48.599998,3,1.0,5.0,40,15,0.0,0.0,,2,1,1.0,5.0,1.0,3.0,2.0,1.0,5708029.0,2.0,3.0,1,61.0,5,,1.0,2.0,1.0,,1.0,2.0,2.0,257.0,2.0,0.0
7968,20140908141636,1,1.0,21.700001,3,1.0,,180,0,0.0,0.0,,1,2,1.0,7.0,1.0,1.0,1.0,1.0,4288808.0,2.0,1.0,1,72.0,5,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,160.0,,0.0
7969,20140908141642,1,1.0,33.5,3,1.0,,5,0,0.0,0.0,1.0,1,2,1.0,4.0,1.0,5.0,2.0,1.0,11500000.0,2.0,3.0,1,72.0,5,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,247.0,,0.0
7970,20140908141643,1,1.0,24.4,3,1.0,5.0,60,5,0.0,0.0,1.0,1,1,1.0,3.0,1.0,3.0,1.0,1.0,6058138.0,2.0,2.0,1,60.0,5,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,125.0,2.0,0.0
7971,20140908141647,1,1.0,27.799999,3,1.0,,105,45,0.0,0.0,,1,1,2.0,,1.0,2.0,2.0,1.0,2596700.0,2.0,4.0,1,65.0,5,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,167.0,,0.0
7972,20140908141650,1,3.0,28.1,3,2.0,,45,80,0.0,0.0,,2,1,1.0,30.0,2.0,,,1.0,7175321.0,2.0,2.0,2,66.0,5,,,,2.0,,,,,174.0,,0.0
7973,20140908141656,1,-3.0,23.4,3,4.0,,165,10,0.0,0.0,,2,1,2.0,,2.0,,,1.0,2569258.0,2.0,4.0,1,60.0,5,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,120.0,,3.0
7974,20140908141657,1,1.0,31.9,3,1.0,5.0,105,30,0.0,0.0,1.0,1,1,1.0,2.0,1.0,3.0,2.0,1.0,8044367.0,2.0,4.0,1,72.0,5,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,235.0,2.0,0.0
7975,20140908141661,1,1.0,31.299999,3,1.0,,60,30,0.0,0.0,,2,1,1.0,2.0,1.0,5.0,1.0,1.0,1759060.0,2.0,3.0,1,67.0,5,,1.0,2.0,1.0,,1.0,1.0,2.0,200.0,,0.0
7976,20140908141662,1,1.0,21.9,3,1.0,5.0,50,0,0.0,0.0,,2,2,1.0,5.0,1.0,4.0,1.0,1.0,2733360.0,2.0,2.0,1,62.0,5,,1.0,2.0,1.0,,1.0,1.0,2.0,120.0,2.0,0.0
7977,20140908141666,1,-3.0,,3,,,15,15,,,,1,1,-3.0,,-3.0,,,-3.0,6691160.0,-3.0,-3.0,1,-3.0,5,-3.0,,,-3.0,2.0,-3.0,,,-3.0,,3.0
7978,20140908141668,1,1.0,24.4,3,1.0,,55,0,0.0,0.0,,1,2,1.0,3.0,2.0,,,1.0,2194463.0,2.0,5.0,1,69.0,5,,1.0,2.0,1.0,2.0,1.0,6.0,2.0,165.0,,0.0
7979,20140908141669,1,1.0,24.4,3,1.0,5.0,150,10,0.0,0.0,,2,1,1.0,4.0,2.0,,,1.0,2730030.0,-2.0,2.0,1,72.0,5,,,,2.0,,2.0,1.0,,180.0,2.0,0.0
7980,20140908141670,1,1.0,23.799999,3,1.0,,30,62,0.0,0.0,,1,1,2.0,,1.0,2.0,1.0,1.0,3582564.0,2.0,1.0,1,57.0,5,,2.0,2.0,1.0,2.0,-2.0,,,110.0,,0.0
7981,20140908141673,1,2.0,23.4,3,5.0,,35,10,0.0,0.0,2.0,1,1,2.0,,1.0,4.0,2.0,2.0,9639184.0,2.0,2.0,1,71.0,5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,168.0,,0.0
7982,20140908141680,1,2.0,31.299999,3,3.0,5.0,90,300,0.0,0.0,,2,1,2.0,,2.0,,,1.0,11400000.0,2.0,3.0,2,69.0,5,1.0,,,2.0,,,,,212.0,,0.0
7983,20140908141686,1,1.0,24.4,3,1.0,5.0,290,0,0.0,0.0,,2,2,1.0,5.0,1.0,3.0,1.0,1.0,3920929.0,2.0,2.0,2,71.0,5,,,,2.0,,,,,175.0,2.0,0.0
7984,20140908141687,1,1.0,31.0,3,1.0,3.0,150,0,0.0,0.0,,2,2,1.0,2.0,1.0,2.0,2.0,1.0,3053873.0,2.0,1.0,3,67.0,5,,1.0,2.0,1.0,,1.0,1.0,1.0,198.0,2.0,0.0
7985,20140908141688,1,3.0,22.0,3,2.0,,90,-2,0.0,0.0,,2,-2,1.0,7.0,1.0,3.0,1.0,1.0,10600000.0,2.0,3.0,1,68.0,5,,1.0,2.0,1.0,,1.0,-2.0,2.0,145.0,,0.0
7986,20140908141691,1,1.0,38.200001,3,1.0,5.0,75,0,0.0,0.0,,1,2,1.0,3.0,1.0,2.0,1.0,1.0,2440394.0,2.0,2.0,1,66.0,5,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,237.0,2.0,0.0
7987,20140908141693,1,1.0,23.5,3,1.0,,60,15,0.0,0.0,,1,1,1.0,4.0,2.0,,,1.0,15800000.0,2.0,2.0,1,67.0,5,,,,2.0,2.0,1.0,2.0,,150.0,2.0,0.0
7988,20140908141697,1,1.0,27.5,3,1.0,5.0,15,20,0.0,0.0,,1,1,1.0,3.0,1.0,4.0,2.0,1.0,20200000.0,2.0,2.0,2,64.0,5,,1.0,2.0,3.0,2.0,,,2.0,160.0,,0.0
7989,20140908141699,1,2.0,34.0,3,5.0,,85,5,0.0,0.0,1.0,1,1,1.0,7.0,1.0,1.0,1.0,1.0,3761399.0,1.0,4.0,1,61.0,5,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,180.0,,0.0
7990,20140908141702,1,1.0,30.1,3,1.0,,40,15,0.0,0.0,,1,1,2.0,,1.0,6.0,1.0,1.0,11400000.0,2.0,3.0,1,67.0,5,,,,2.0,2.0,2.0,1.0,,192.0,2.0,0.0
7991,20140908141709,1,2.0,33.400002,3,5.0,,60,20,0.0,0.0,,2,1,1.0,4.0,2.0,,,1.0,15300000.0,2.0,1.0,1,69.0,5,2.0,1.0,2.0,1.0,,2.0,3.0,2.0,226.0,,0.0
7992,20140908141713,1,2.0,25.799999,3,5.0,3.0,90,5,0.0,0.0,2.0,1,1,1.0,7.0,2.0,,,1.0,2568387.0,1.0,3.0,2,67.0,5,2.0,,,2.0,1.0,,,,165.0,1.0,0.0
7993,20140908141716,1,1.0,21.1,3,1.0,,35,2,0.0,0.0,2.0,1,1,1.0,7.0,2.0,,,1.0,1928525.0,2.0,3.0,1,67.0,5,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,135.0,2.0,0.0
7994,20140908141719,1,1.0,34.099998,3,1.0,,90,0,0.0,0.0,,2,2,2.0,,2.0,,,1.0,31800000.0,2.0,5.0,1,69.0,5,,1.0,2.0,1.0,,1.0,1.0,2.0,231.0,2.0,0.0
7995,20140908141720,1,1.0,25.6,3,1.0,3.0,80,15,0.0,0.0,,2,1,1.0,4.0,2.0,,,1.0,11300000.0,2.0,3.0,2,65.0,5,,,,2.0,,,,,154.0,,0.0
7996,20140908141722,1,3.0,37.799999,3,2.0,5.0,75,0,0.0,0.0,,2,2,1.0,3.0,2.0,,,1.0,3569590.0,2.0,4.0,1,64.0,5,,1.0,2.0,1.0,,1.0,2.0,2.0,220.0,,0.0
7997,20140908141728,1,1.0,31.299999,3,1.0,5.0,45,5,0.0,0.0,,1,1,2.0,,1.0,4.0,1.0,1.0,8318927.0,2.0,3.0,1,67.0,5,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,200.0,,0.0
7998,20140908141729,1,2.0,31.5,3,3.0,,105,0,0.0,0.0,2.0,1,2,1.0,1.0,2.0,,,1.0,20300000.0,2.0,4.0,2,66.0,5,1.0,,,2.0,1.0,,,,195.0,,0.0
7999,20140908141732,1,2.0,39.5,3,5.0,1.0,10,60,0.0,0.0,2.0,1,1,1.0,1.0,1.0,2.0,2.0,1.0,7780659.0,2.0,3.0,3,70.0,5,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,275.0,2.0,0.0
8000,20140908141733,1,1.0,,3,1.0,2.0,60,60,0.0,,,1,1,1.0,3.0,1.0,1.0,2.0,1.0,9690580.0,2.0,1.0,3,62.0,5,,1.0,2.0,3.0,2.0,2.0,3.0,2.0,-5.0,2.0,0.0
8001,20140908141736,1,1.0,34.900002,3,1.0,5.0,30,3,1.0,0.0,,2,1,1.0,4.0,1.0,12.0,1.0,1.0,5012140.0,2.0,3.0,1,77.0,5,,1.0,2.0,1.0,,1.0,4.0,1.0,294.0,2.0,0.0
8002,20140908141737,1,2.0,32.900002,3,3.0,,45,0,0.0,0.0,,1,2,1.0,3.0,2.0,,,1.0,6042467.0,2.0,4.0,1,67.0,5,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,210.0,2.0,0.0
8003,20140908141741,1,,,3,,,25,0,,,,2,2,-3.0,,2.0,,,3.0,7512553.0,2.0,2.0,1,,5,,1.0,2.0,1.0,,1.0,1.0,2.0,,,
8004,20140908141757,1,2.0,24.799999,3,5.0,,30,45,0.0,0.0,,2,1,1.0,7.0,2.0,,,1.0,4785358.0,2.0,1.0,1,63.0,5,2.0,2.0,2.0,1.0,,1.0,1.0,,140.0,,0.0
8005,20140908141760,1,2.0,20.4,3,5.0,,70,0,0.0,0.0,2.0,1,2,1.0,5.0,2.0,,,1.0,4793415.0,1.0,3.0,1,63.0,5,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,115.0,2.0,0.0
8006,20140908141764,1,-3.0,26.0,3,,,55,0,0.0,0.0,,2,2,1.0,2.0,2.0,,,1.0,5703827.0,2.0,3.0,1,70.0,5,-3.0,1.0,2.0,1.0,,1.0,1.0,2.0,181.0,,3.0
8007,20140908141766,1,1.0,28.1,3,1.0,,60,0,0.0,0.0,2.0,1,2,1.0,3.0,2.0,,,1.0,23000000.0,2.0,3.0,2,72.0,5,-2.0,1.0,2.0,3.0,1.0,,,2.0,207.0,,73.0
8008,20140908141767,1,1.0,23.700001,3,1.0,,45,25,0.0,0.0,2.0,1,1,1.0,1.0,2.0,,,1.0,4641413.0,2.0,2.0,1,68.0,5,,2.0,2.0,1.0,1.0,2.0,2.0,,156.0,2.0,0.0
8009,20140908141768,1,1.0,20.9,3,1.0,5.0,80,15,0.0,0.0,,2,1,1.0,3.0,1.0,1.0,2.0,1.0,9595917.0,2.0,2.0,2,71.0,5,,,,2.0,,,,,150.0,2.0,0.0
8010,20140908141771,1,2.0,26.799999,3,5.0,,30,0,0.0,0.0,,2,2,1.0,6.0,1.0,7.0,1.0,1.0,5612122.0,2.0,3.0,1,66.0,5,3.0,1.0,2.0,1.0,,1.0,2.0,2.0,166.0,2.0,0.0
8011,20140908141778,1,1.0,22.799999,3,1.0,5.0,30,0,0.0,0.0,,2,2,2.0,,2.0,,,1.0,11300000.0,2.0,2.0,1,68.0,5,,1.0,2.0,1.0,,1.0,2.0,2.0,150.0,2.0,0.0
8012,20140908141782,1,1.0,33.900002,3,1.0,,30,480,0.0,0.0,1.0,1,1,1.0,3.0,1.0,2.0,2.0,1.0,1572715.0,2.0,5.0,1,66.0,5,,2.0,2.0,1.0,1.0,5.0,1.0,,210.0,,0.0
8013,20140908141784,1,1.0,42.799999,3,1.0,,50,2,0.0,0.0,,2,1,1.0,3.0,1.0,3.0,2.0,1.0,6561276.0,2.0,3.0,1,62.0,5,,1.0,2.0,1.0,,1.0,3.0,2.0,234.0,,0.0
8014,20140908141786,1,1.0,,3,1.0,5.0,15,10,,,,2,1,-2.0,,-2.0,,,-2.0,15800000.0,-2.0,-2.0,1,-2.0,5,-2.0,,,-2.0,,2.0,-2.0,,-2.0,-2.0,74.0
8015,20140908141787,1,2.0,28.9,3,5.0,5.0,125,15,0.0,0.0,2.0,1,1,1.0,1.0,1.0,3.0,1.0,2.0,3033616.0,2.0,5.0,1,60.0,5,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,148.0,2.0,0.0
8016,20140908141789,1,3.0,20.6,3,2.0,,90,0,0.0,0.0,,2,2,1.0,1.0,1.0,1.0,2.0,2.0,3916408.0,2.0,3.0,1,64.0,5,,1.0,2.0,1.0,,1.0,2.0,2.0,120.0,2.0,0.0
8017,20140908141791,1,1.0,25.1,3,1.0,3.0,70,0,0.0,0.0,,1,2,2.0,,1.0,2.0,2.0,1.0,9293334.0,2.0,2.0,2,71.0,5,,,,2.0,2.0,,,,180.0,2.0,0.0
8018,20140908141792,1,3.0,,3,2.0,5.0,30,35,0.0,,,1,1,2.0,,2.0,,,1.0,9138046.0,2.0,2.0,1,68.0,5,,1.0,1.0,1.0,2.0,2.0,6.0,1.0,-2.0,2.0,0.0
8019,20140908141799,1,1.0,24.200001,3,1.0,5.0,140,0,0.0,0.0,,1,2,1.0,2.0,1.0,5.0,2.0,1.0,7287338.0,2.0,1.0,2,66.0,5,,,,2.0,2.0,,,,150.0,2.0,0.0
8020,20140908141804,1,1.0,30.0,3,1.0,1.0,20,1,0.0,0.0,,1,1,2.0,,2.0,,,1.0,1325778.0,2.0,1.0,1,65.0,5,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,180.0,,0.0
8021,20140908141806,1,2.0,24.4,3,5.0,,40,0,0.0,0.0,2.0,1,2,1.0,2.0,2.0,,,1.0,2878631.0,1.0,1.0,1,61.0,5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,129.0,2.0,12.0
8022,20140908141808,1,1.0,28.299999,3,1.0,5.0,75,0,0.0,0.0,,2,2,1.0,6.0,2.0,,,1.0,1827356.0,2.0,1.0,2,65.0,5,,,,2.0,,,,,170.0,2.0,0.0
8023,20140908141809,1,2.0,23.4,3,3.0,,60,20,0.0,0.0,,1,1,2.0,,2.0,,,1.0,11700000.0,2.0,4.0,3,59.0,5,1.0,,,2.0,2.0,1.0,1.0,,116.0,2.0,0.0
8024,20140908141811,1,2.0,21.299999,3,3.0,,75,5,1.0,0.0,,1,1,2.0,,2.0,,,1.0,7150678.0,2.0,2.0,1,77.0,5,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,180.0,,0.0
8025,20140908141812,1,1.0,30.1,3,1.0,,120,0,0.0,0.0,,1,2,2.0,,1.0,1.0,2.0,1.0,2172503.0,2.0,3.0,1,63.0,5,,1.0,2.0,1.0,2.0,1.0,-2.0,2.0,170.0,,0.0
