Unnamed: 0,erbmi,ertpreat,eudrink,eueat,euexercise,eufastfd,eufdsit,euprpmel,eusoda,eugenhth,codified_bmi,codified_health
162,23.9,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,1
163,20.4,105,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1
164,19.700001,30,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2,1
165,21.9,20,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2,1
167,34.900002,20,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,3,2
169,25.799999,60,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1
173,24.700001,45,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
174,30.299999,60,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3,1
175,21.299999,90,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2,1
176,19.299999,40,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2,1
178,27.0,75,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3,1
179,29.200001,120,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3,1
181,24.799999,120,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2,1
182,29.799999,110,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3,1
183,21.5,135,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2,1
184,17.200001,75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1
185,20.299999,210,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2,1
186,24.299999,40,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2,1
187,32.599998,90,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3,1
189,25.700001,75,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3,1
193,35.0,50,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3,1
194,21.5,180,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2,1
195,38.900002,12,1.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,3,2
198,31.6,25,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3,1
199,30.4,20,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3,1
200,28.200001,60,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3,1
201,25.0,10,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3,1
202,37.700001,105,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3,1
203,23.0,180,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2,1
204,23.1,15,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2,1
205,25.9,90,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1
206,21.6,70,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1
207,20.299999,50,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2,1
213,18.0,10,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1
214,22.9,65,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2,1
215,38.400002,60,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3,1
217,41.799999,65,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,3,2
220,23.6,50,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2,1
221,23.1,160,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2,1
224,28.4,80,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
225,25.5,20,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3,2
226,31.299999,0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3,1
227,20.299999,130,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
228,30.4,30,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3,1
